rh	gen	rept	N	P	K	Ca	Mg	S	Fe	Zn	Cu	Mn	B	A	gs	Ci	E	VpdL	CiCa	Ags	Ae	Aci
irr	BN34 	1	25.06	2.71	19.38	9.53	3.81	2.51	101	56	3	495	64	3.77877	0.05317	262.71922	1.40998	2.62494	0.663635202	71.07580322	2.680024933	0.014383301
nir	BN34 	1	23.31	2.06	13.13	14.68	5.56	2.79	55	52	3	887	33	2.54197	0.03179	250.14249	1.03948	3.23678	0.668018617	73.73541824	2.916669936	0.01057119
irr	BN34 	2	26.18	1.79	11.88	6.34	2.88	1.68	108	24	3	567	42	2.82063	0.03825	266.82248	0.96707	2.50015	0.668839651	71.2669572	2.766111394	0.012135441
nir	BN34 	2	25.06	2.23	15	10.13	5.38	2.3	81	48	3	595	35	1.51213	0.03867	321.27239	1.29978	3.33107	0.627365032	79.96704107	2.445416545	0.01016207
irr	BN34 	3	24.71	2.71	15	10.03	5.06	2.4	123	50	4	709	45	3.22997	0.04532	266.16037	1.16769	2.54918	0.806162067	39.10141937	1.16337706	0.004706699
nir	BN34 	3	27.65	1.95	15	12.28	5.25	2.62	112	32	4	537	29	1.4257	0.0327	310.51687	0.89639	2.7059	0.77766381	43.595013	1.590487073	0.004591379
irr	CCN51 	1	23.03	2.79	13.75	12.18	4.19	1.98	97	39	3	545	35	5.71242	0.02954	72.77016	0.72436	2.44246	0.183933631	193.3731893	7.886130376	0.078499452
nir	CCN51 	1	25.9	1.84	14.38	15.12	4.94	2.62	52	36	4	643	31	4.7118	0.02313	60.04556	0.77241	3.29958	0.318189145	160.0486169	7.218688538	0.047813585
irr	CCN51 	2	31.22	2.79	12.5	11.43	4.13	3.32	162	48	4	781	47	6.05299	0.03782	126.5957	0.83852	2.21244	0.348985058	153.014698	7.017169614	0.042545317
nir	CCN51 	2	25.62	2.29	13.13	14.53	6.06	3.08	83	50	4	363	41	5.24287	0.03904	171.91563	1.24431	3.15752	0.149731803	203.7000968	6.100173556	0.0784705
irr	CCN51 	3	29.19	3.23	15.63	10.68	3.69	2.62	133	40	3	519	33	5.89796	0.03855	138.62773	0.8405	2.17666	0.426221345	134.309929	4.213486629	0.030496767
nir	CCN51 	3	26.11	3.23	15.63	15.22	4.88	2.51	91	57	5	825	25	4.04711	0.03028	100.016	0.96044	3.04403	0.463852488	133.6430548	4.213753142	0.040464482
irr	CEPEC2002 	1	29.26	3.04	16.25	13.88	4.19	2.09	89	54	4	475	35	3.55811	0.05734	282.69372	1.44321	2.49398	0.712469362	62.05497763	2.465407073	0.012586435
nir	CEPEC2002 	1	25.2	2.42	13.75	13.08	4.06	2.62	62	52	3	453	33	3.05538	0.05677	295.46028	1.68407	2.95117	0.620831495	86.29031473	3.607717155	0.016759511
irr	CEPEC2002 	2	24.22	3.13	17.5	7.59	4.06	2.73	118	46	3	719	47	4.12123	0.04776	245.90387	1.14234	2.3693	0.718503619	60.20785622	2.467458505	0.013818414
nir	CEPEC2002 	2	28.91	2.23	18.75	10.43	4.5	2.96	64	51	4	294	33	2.28555	0.02887	256.75919	0.89342	3.06929	0.741394558	53.8162392	1.814281493	0.010341091
irr	CEPEC2002 	3	26.32	2.95	13.75	7.94	3.25	2.3	127	45	4	539	53	3.94442	0.06551	285.4468	1.59858	2.42159	0.642871294	79.17340051	2.558218894	0.008901541
nir	CEPEC2002 	3	26.46	2.29	14.38	20.92	4.75	2.73	75	50	3	278	31	1.13076	0.01826	285.40219	0.51699	2.79083	0.71519541	61.94024164	2.187176367	0.003961978
irr	CP176 	1	22.54	2.36	11.25	20.37	7.75	1.88	119	61	9	1058	33	3.14686	0.04738	278.84234	0.95779	2.02011	0.702197176	66.41659906	3.285528979	0.011285431
nir	CP176 	1	23.03	2.23	18.13	11.73	5.25	2.73	61	59	4	655	33	4.05892	0.04411	243.56229	1.3489	3.03623	0.586274246	91.32918048	3.929821181	0.017650858
irr	CP176 	2	25.55	2.56	17.5	7.64	4.69	2.73	131	40	3	487	38	4.09585	0.04485	232.04807	1.04225	2.31833	0.570628764	99.10507846	4.489151892	0.020961523
nir	CP176 	2	25.76	2.23	16.88	10.58	5.56	2.4	99	61	5	717	37	3.09303	0.02878	207.3259	0.90303	3.11068	0.611404953	92.01973762	3.009067226	0.016664796
irr	CP176 	3	24.46	2.95	18.75	12.83	5.19	2.79	119	49	5	375	55	4.75589	0.04799	226.88683	1.05942	2.2042	0.522387332	107.4749582	3.425163756	0.014918697
nir	CP176 	3	23.87	2.42	15	10.73	5.25	2.19	68	55	5	373	31	3.57597	0.03644	225.4441	1.12596	3.07345	0.566896143	98.12205275	3.175923634	0.015861911
irr	CP196 	1	26.74	3.04	15.63	10.03	4.5	2.09	94	60	5	859	33	4.07228	0.03412	199.68188	0.8951	2.592	0.491124426	119.3657421	4.549540984	0.020393833
nir	CP196 	1	25.76	2.14	15.63	11.78	5.94	2.96	56	45	4	639	35	5.9273	0.07178	255.94142	1.91564	2.66173	0.554581872	97.88182484	3.883587663	0.02064629
irr	CP196 	2	19.11	2.71	16.25	6.24	4.19	2.4	110	51	6	595	41	4.58772	0.04687	222.20537	1.18131	2.51618	0.618039319	85.58902831	3.477397524	0.020852278
nir	CP196 	2	26.11	1.87	16.88	8.39	4.94	2.4	61	47	5	637	33	3.4406	0.04158	244.7955	1.32163	3.15329	0.633921071	82.58139475	3.094167227	0.023158801
irr	CP196 	3	20.02	2	10.63	13.43	5.69	2.09	140	90	6	819	42	5.10315	0.05962	244.72886	1.46752	2.44036	0.617516425	82.74155294	2.603307061	0.014054982
nir	CP196 	3	27.44	2.63	14.38	13.63	5.25	2.73	89	48	6	705	30	3.40279	0.02297	204	0.6979	2.9633	0.638874912	148.1717601	4.875794311	0.016686545
irr	CP197 	1	22.61	3.44	15	16.37	5	1.88	111	57	4	1278	26	2.95482	0.04457	276.97588	0.99499	2.22866	0.698013933	66.30331052	2.969708833	0.01066814
nir	CP197 	1	23.31	2.95	15	15.32	4.63	2.19	108	55	4	853	33	3.75459	0.0204	79.74066	0.63921	3.1036	0.669189488	81.13743805	3.917847762	0.013761442
irr	CP197 	2	24.43	3.13	16.25	11.23	4	1.98	116	52	4	1218	45	3.67136	0.04525	266.78599	0.93709	2.07346	0.591211233	93.98508948	3.843410758	0.01480688
nir	CP197 	2	26.04	1.95	13.75	9.03	6.38	3.2	122	49	4	623	33	1.98398	0.01705	192.40139	0.50287	2.92347	0.200739245	184.0568015	5.873835408	0.047085054
irr	CP197 	3	26.74	3.13	15.63	12.88	4.56	2.62	120	52	6	979	52	3.48682	0.0371	235.48662	0.90722	2.43601	0.482919495	116.3490001	3.945290574	0.010311663
nir	CP197 	3	25.97	3.23	16.25	14.33	4.94	2.4	81	49	5	965	33	2.86929	0.01873	136.07102	0.57104	3.01354	0.34182937	153.228551	5.024671464	0.021086677
irr	CP223 	1	27.72	2.63	13.75	13.48	4.25	2.09	109	47	4	915	41	2.30963	0.05254	313.29481	1.15429	2.1951	0.78541947	43.96007467	2.000911246	0.007372072
nir	CP223 	1	23.8	2.23	15	15.07	4.88	2.51	73	52	4	777	30	1.80667	0.0328	268.15962	1.08081	3.28546	0.767530036	53.09600522	2.501045613	0.009441909
irr	CP223 	2	29.12	2.71	15	10.33	5	2.73	133	53	5	883	64	2.88286	0.0543	305.32563	1.15266	2.16074	0.832926399	32.98331097	1.418649182	0.00372791
nir	CP223 	2	27.65	1.7	15.63	11.73	6.13	2.73	115	66	4	583	41	2.85713	0.02419	187.39017	0.82442	3.3705	0.671428414	55.07495397	1.67158512	0.006737279
irr	CP223 	3	25.83	2.29	13.75	19.57	4.88	2.3	185	46	7	721	66	1.23733	0.03751	331.91088	0.87219	2.31746	0.467738252	118.1349982	3.465633514	0.015246936
nir	CP223 	3	28.84	2.42	16.25	11.53	6	2.3	75	62	7	290	33	3.11435	0.06947	310.36982	1.72289	2.46036	0.7801467	44.83232415	1.807637492	0.010034326
irr	CP234 	1	31.78	2.79	13.75	12.33	6	2.73	104	42	3	571	53	5.81662	0.12798	289.5147	3.06183	2.42211	0.733699236	45.45021601	1.89971987	0.020090928
nir	CP234 	1	22.89	2.23	16.25	14.18	5.13	2.51	60	47	3	661	37	3.06838	0.02832	213.0897	1.00019	3.48994	0.702554739	63.23909453	2.370102249	0.012809668
irr	CP234 	2	27.09	2.63	13.75	7.64	4.5	2.19	151	51	4	621	37	3.574	0.05652	279.00825	1.50795	2.64289	0.786775882	43.46461303	1.878789883	0.016432223
nir	CP234 	2	25.83	1.52	13.13	10.83	5.94	2.51	98	46	4	415	35	2.42573	0.0222	186	0.72034	3.25875	0.533289006	108.3452488	3.067783739	0.014399462
irr	CP234 	3	26.32	2.87	16.25	13.43	5.56	2.62	143	53	4	1218	40	5.08718	0.11704	309.58573	2.70769	2.30778	0.550817505	109.2803514	3.367415084	0.013033472
nir	CP234 	3	26.39	1.95	13.75	12.83	4	2.51	64	37	4	559	33	2.57599	0.01848	158.03204	0.55232	2.94269	0.39663955	139.4179907	4.663953247	0.016300437
irr	CP236 	1	26.04	2.79	13.13	15.67	4.69	1.98	112	34	4	755	41	3.86137	0.06329	283.13215	1.72184	2.6937	0.712505023	61.00987187	2.242583501	0.013638048
nir	CP236 	1	23.38	2.17	10.63	15.47	4.69	2.4	59	30	3	597	35	4.18424	0.03213	184.6632	1.01906	3.14464	0.636296984	78.83491432	2.716935551	0.010021457
irr	CP236 	2	27.02	2.11	12.5	11.68	4.69	2.4	155	30	4	1118	37	2.53646	0.03217	253.1033	0.93358	2.8624	0.847606326	14.6700467	0.574816368	0.006345062
nir	CP236 	2	23.1	2.42	21.88	10.48	5.19	3.32	58	73	5	310	42	4.87676	0.04866	219.34455	1.46465	2.99179	0.463161741	130.2358274	4.105970376	0.022658771
irr	CP236 	3	21.7	2.11	15.63	8.29	3.44	2.19	126	26	4	543	47	2.12071	0.14456	334.22977	3.68937	2.58055	0.549920679	100.2308554	3.329634161	0.022233327
nir	CP236 	3	24.99	2.29	13.13	13.58	5.19	2.73	70	52	4	338	30	3.71749	0.03654	195	1	2.96404	0.595690083	101.7351912	3.3725115	0.019016502
nir	CP41 	2	22.26	2	13.13	8.94	4.38	2.79	106	45	4	12	38	4.73295	0.05791	231.28164	1.32036	2.31013	0.583077186	81.73543779	3.584598471	0.020464
irr	CP41 	1	22.61	2.63	17.5	10.08	4	2.4	107	46	4	887	57	2.78548	0.01578	96.91003	0.55545	3.47261	0.704740743	64.93062199	2.997828417	0.021801844
nir	CP41 	1	24.15	2.11	16.25	13.83	4.5	2.4	64	42	4	853	31	6.0737	0.09354	278.58672	2.02603	2.16008	0.619020471	84.77486524	3.493371652	0.019111253
irr	CP41 	2	25.83	2.87	13.75	6.09	3.06	2.73	214	49	4	1558	42	2.18309	0.01431	139.06707	0.42813	2.95826	0.246208744	176.5339991	5.014846863	0.02874292
irr	CP41 	3	25.34	2.87	16.25	9.83	4.94	2.79	149	51	5	921	50	4.69697	0.05541	245.76963	1.34454	2.40898	0.350928985	152.5264504	5.099163239	0.01569811
nir	CP41 	3	27.3	2.36	16.88	18.17	5.5	3.2	97	44	5	581	33	1.61315	0.04604	323.94063	1.28156	2.75108	0.816076275	35.03427355	1.258743911	0.004979771
irr	CP43 	1	23.87	2.23	15	11.68	4.38	2.62	83	51	3	703	53	5.90153	0.05782	217.05401	1.44169	2.48715	0.548508898	102.0751793	4.093473337	0.027189227
nir	CP43 	1	24.29	2.42	18.13	12.18	4.81	2.73	68	47	3	629	33	3.31199	0.05096	270.75204	1.70616	3.31721	0.436588168	131.1351698	5.013122108	0.028769748
